Default Dataset,,Red DS,
X,Y,X,Y
5569.012127880075,1.572475637610037e-17,5457.474945075453,1.7243049741160183e-17
5569.045325940289,1.496560969357047e-17,5457.5081431356675,1.648390305863027e-17
5569.078524000503,1.420646301104057e-17,5457.541341195882,1.572475637610037e-17
5569.1117220607175,1.3447316328510671e-17,5457.574539256096,1.496560969357047e-17
5569.144920120932,1.2688169645980758e-17,5459.109027372663,1.4322443754204858e-17
5569.171663002771,1.2076634818387228e-17,5460.327870440527,3.0738990763914e-17
5576.180477715264,3.9693470951028066e-17,5459.937318975007,2.98280147448781e-17
5575.542462974708,3.862568129908576e-17,5459.970517035221,2.90688680623482e-17
5575.575661034922,3.786653461655586e-17,5460.003715095435,2.83097213798183e-17
5575.608859095136,3.710738793402596e-17,5460.036913155649,2.7550574697288402e-17
5575.64205715535,3.634824125149606e-17,5460.070111215864,2.6791428014758502e-17
5575.675255215565,3.558909456896616e-17,5461.611331161308,2.5994323998102106e-17
5575.708453275779,3.482994788643626e-17,5461.644529221521,2.5235177315572206e-17
5575.741651335993,3.407080120390635e-17,5461.677727281736,2.4476030633042294e-17
5575.773466143698,3.334328563314853e-17,5460.415924343095,3.266216235965642e-17
5575.506406192641,3.256094280198576e-17,5459.856905895822,3.166683670922832e-17
5575.5396042528555,3.180179611945586e-17,5469.251034768098,2.3527097279879916e-17
5575.571142410059,3.108060677105246e-17,5469.284232828312,2.2767950597350016e-17
5576.4660145665,2.898873591252561e-17,5469.317430888526,2.2008803914820116e-17
5576.006313649367,2.801871515151518e-17,5469.35062894874,2.1249657232290216e-17
5576.039511709581,2.7259568468985277e-17,5470.901255011245,2.0237461655583674e-17
5576.072709769795,2.6500421786455377e-17,5469.417025069169,1.9731363867230404e-17
5576.1059078300095,2.5741275103925465e-17,5470.97041763669,1.865590606697971e-17
5576.137031011461,2.502957508905368e-17,5471.003615696905,1.789675938444981e-17
5573.66262281508,2.4201894331017623e-17,5471.0368137571195,1.713761270191991e-17
5576.209651768178,2.336894172101952e-17,5471.070011817334,1.637846601939001e-17
5576.239391697121,2.2688872817919818e-17,5471.103209877548,1.5619319336860098e-17
5575.975052142665,2.1844322133605306e-17,5471.136407937762,1.4860172654330198e-17
5576.30578781755,2.1170579452860018e-17,5471.169605997976,1.4101025971800298e-17
5576.338294251509,2.0427248326216152e-17,5472.704555198712,1.3447316328510671e-17
5577.213201463404,1.7643710490273182e-17,5472.737753258927,1.2688169645980758e-17
5575.508540353656,5.416408839626528e-17,5473.527359899438,1.1855217035982668e-17
