Wavelength (A),Sky (erg/s/cm^2/A/arcsec^2)
6832.397968,2.61E-17
6832.443155,2.50E-17
6832.476353,2.43E-17
6832.509551,2.35E-17
6832.542749,2.27E-17
6832.575947,2.20E-17
6832.609145,2.12E-17
6846.198679,2.05E-17
6846.231877,1.97E-17
6846.265075,1.90E-17
6846.298273,1.82E-17
6846.331471,1.75E-17
6846.364669,1.67E-17
6846.397867,1.59E-17
6846.431065,1.52E-17
6846.464263,1.44E-17
6846.49677,1.37E-17
6850.897741,1.25E-17
6853.29292,1.14E-17
6862.161413,2.29E-17
6862.43087,2.13E-17
6863.826849,2.21E-17
6863.880334,2.95E-17
6863.904311,2.90E-17
6863.943042,2.81E-17
6863.978453,2.73E-17
6864.011651,2.65E-17
6864.044849,2.58E-17
6864.078047,2.50E-17
6864.111245,2.42E-17
6864.144444,2.35E-17
6865.051304,3.03E-17
6866.113642,1.98E-17
6866.14684,1.90E-17
6866.180038,1.83E-17
6866.213236,1.75E-17
6866.246434,1.67E-17
6866.279079,1.60E-17
6867.280369,2.07E-17
6867.521793,1.51E-17
6867.553331,1.44E-17
6867.586529,1.37E-17
6875.206867,1.16E-17
6878.860791,1.26E-17
6884.916608,1.35E-17
6885.643507,1.41E-17
6902.236774,1.36E-17
6910.473581,1.47E-17
6913.44135,1.57E-17
6915.659165,1.67E-17
6918.631313,1.76E-17
6921.450382,2.20E-17
6921.613606,1.83E-17
6923.782545,2.03E-17
6923.979521,1.93E-17
6924.933016,2.11E-17
6925.041305,2.26E-17
6939.722594,1.75E-17
6941.50201,1.82E-17
6943.771466,1.68E-17
6943.953134,1.92E-17
6949.385858,2.05E-17
6949.788799,2.16E-17
6953.202943,1.93E-17
6953.236141,1.85E-17
6953.269339,1.78E-17
6954.866304,1.57E-17
6958.098274,1.07E-17
6960.089466,1.68E-17
6961.023023,1.27E-17
6961.056221,1.19E-17
6961.590064,1.12E-17
6962.240522,1.44E-17
6963.50218,1.34E-17
6977.436974,1.63E-17
6977.481791,1.52E-17
6978.858127,1.82E-17
6979.899255,1.74E-17
6981.039978,1.42E-17
6985.091985,1.34E-17
6985.114578,1.29E-17
6991.177374,1.21E-17
6991.645704,1.12E-17
6992.746674,1.06E-17
7010.272253,1.17E-17
7010.425333,1.28E-17
7012.202812,1.35E-17
7022.844174,1.13E-17
7024.259241,1.34E-17
7024.910477,1.23E-17
7025.746238,1.38E-17
7027.122574,1.68E-17
7027.155772,1.61E-17
7027.18897,1.53E-17
7027.218479,1.46E-17
7029.709256,2.66E-17
7031.128127,2.00E-17
7031.973295,1.78E-17
7034.078674,2.31E-17
7034.107999,2.93E-17
7034.111872,2.23E-17
7034.141197,2.86E-17
7034.14507,2.16E-17
7034.313182,2.46E-17
7034.34638,2.39E-17
7034.707935,3.04E-17
7034.950777,2.57E-17
7035.317653,1.89E-17
7035.682694,2.78E-17
7035.715892,2.70E-17
7035.981845,2.09E-17
7044.063728,1.98E-17
7044.163323,1.75E-17
7044.520432,1.51E-17
7044.922267,2.31E-17
7044.955465,2.24E-17
7044.988663,2.16E-17
7045.021861,2.09E-17
7045.121456,1.86E-17
7045.204451,1.67E-17
7045.237649,1.59E-17
7048.315847,1.44E-17
7048.340745,1.39E-17
7052.14492,1.30E-17
7057.460068,1.20E-17
7061.094149,1.16E-17
7080.065642,1.18E-17
7092.87479,1.17E-17
7099.699462,1.06E-17
7114.166781,1.05E-17
7131.311458,1.11E-17
7148.213113,1.12E-17
7167.476134,1.08E-17
7181.033392,1.08E-17
7184.075625,1.02E-17
7193.15541,9.21E-18
7210.786099,9.56E-18
7218.709963,1.04E-17
7230.421962,1.13E-17
7230.688929,1.21E-17
7232.068954,1.50E-17
7232.102152,1.42E-17
7232.13535,1.34E-17
7232.168548,1.27E-17
7232.626866,1.60E-17
7233.413937,1.87E-17
7233.447135,1.79E-17
7233.480333,1.71E-17
7234.758919,2.23E-17
7234.792117,2.16E-17
7234.825315,2.08E-17
7234.858514,2.01E-17
7234.888023,1.94E-17
7235.317569,2.33E-17
7235.87336,3.13E-17
7235.925001,3.01E-17
7235.972954,2.90E-17
7236.006152,2.83E-17
7236.03935,2.75E-17
7236.072548,2.68E-17
7236.105746,2.60E-17
7236.138944,2.52E-17
7236.172142,2.45E-17
7239.255412,5.73E-17
7240.03695,3.94E-17
7240.070148,3.87E-17
7240.103346,3.79E-17
7240.136544,3.72E-17
7240.169742,3.64E-17
7240.20294,3.56E-17
7240.236138,3.49E-17
7240.269336,3.41E-17
7240.302534,3.34E-17
7240.335041,3.26E-17
7240.365472,3.19E-17
7241.075772,4.32E-17
7241.108971,4.25E-17
7241.142169,4.17E-17
7241.175367,4.10E-17
7241.511036,4.02E-17
7241.930346,4.44E-17
7242.354451,5.53E-17
7242.387649,5.46E-17
7242.420847,5.38E-17
7242.454045,5.31E-17
7242.976976,5.64E-17
7243.711791,5.87E-17
7243.755133,5.78E-17
7243.994896,5.23E-17
7244.028094,5.15E-17
7244.061292,5.08E-17
7244.094491,5.00E-17
7244.127689,4.92E-17
7244.160887,4.85E-17
7244.194085,4.77E-17
7244.227283,4.70E-17
7244.260481,4.62E-17
7244.293679,4.54E-17
7251.865142,4.45E-17
7251.89834,4.38E-17
7251.931538,4.30E-17
7251.964736,4.23E-17
7251.997934,4.15E-17
7252.031132,4.07E-17
7253.577055,3.98E-17
7253.609423,3.91E-17
7253.642622,3.83E-17
7253.67582,3.76E-17
7253.709018,3.68E-17
7253.742216,3.61E-17
7253.775414,3.53E-17
7253.808612,3.45E-17
7253.84181,3.38E-17
7253.875008,3.30E-17
7253.908206,3.23E-17
7254.30188,3.01E-17
7255.445922,3.15E-17
7257.623346,2.31E-17
7258.593282,2.85E-17
7258.62648,2.77E-17
7258.659678,2.69E-17
7258.692876,2.62E-17
7258.726074,2.54E-17
7258.759273,2.47E-17
7258.792471,2.39E-17
7259.491474,3.09E-17
7260.362186,2.93E-17
7262.056024,1.82E-17
7263.159675,2.05E-17
7263.192873,1.97E-17
7263.226072,1.90E-17
7263.4236,2.13E-17
7263.883762,2.23E-17
7264.2826,1.32E-17
7265.153219,1.62E-17
7265.186417,1.55E-17
7265.219615,1.47E-17
7265.252813,1.40E-17
7265.315889,1.25E-17
7266.238865,1.72E-17
7276.190467,3.94E-17
7276.780901,4.12E-17
7276.848527,2.44E-17
7277.368169,4.69E-17
7277.435948,4.54E-17
7277.469146,4.46E-17
7277.492938,3.72E-17
7277.502344,4.39E-17
7277.526136,3.64E-17
7277.535542,4.31E-17
