Wavelength (A),Transmittance
5200,3.29E-06
5205,0.00000298
5210,3.23E-06
5215,4.15E-06
5220,4.48E-06
5225,3.71E-06
5230,3.29E-06
5235,4.49E-06
5240,3.59E-06
5245,3.21E-06
5250,2.35E-06
5255,2.82E-06
5260,3.78E-06
5265,3.48E-06
5270,4.13E-06
5275,2.87E-06
5280,3.97E-06
5285,3.97E-06
5290,2.45E-06
5295,3.67E-06
5300,2.30E-06
5305,2.57E-06
5310,3.18E-06
5315,3.96E-06
5320,4.54E-06
5325,3.84E-06
5330,4.22E-06
5335,6.98E-06
5340,8.39E-06
5345,8.74E-06
5350,1.59E-05
5355,3.18E-05
5360,5.06E-05
5365,8.47E-05
5370,0.000137314
5375,0.000224913
5380,0.000354283
5385,0.000557711
5390,0.000847003
5395,0.001271939
5400,0.001880982
5405,0.002707832
5410,0.003836958
5415,0.005357123
5420,0.007323727
5425,0.009842871
5430,0.012996185
5435,0.016911619
5440,0.021671298
5445,0.027452905
5450,0.034321618
5455,0.042173071
5460,0.05123353
5465,0.061613712
5470,0.072977414
5475,0.08570508
5480,0.099804039
5485,0.11487339
5490,0.131129713
5495,0.148287849
5500,0.166488209
5505,0.185530949
5510,0.205418816
5515,0.226041832
5520,0.246702118
5525,0.268158264
5530,0.290049114
5535,0.311434326
5540,0.333448334
5545,0.355596085
5550,0.377177239
5555,0.39881012
5560,0.420023956
5565,0.440963326
5570,0.461378784
5575,0.481553955
5580,0.501207047
5585,0.52006691
5590,0.538416977
5595,0.556431656
5600,0.573267288
5605,0.589842987
5610,0.60594471
5615,0.621028481
5620,0.635688324
5625,0.64960846
5630,0.662911682
5635,0.67573288
5640,0.687917709
5645,0.699634857
5650,0.710667496
5655,0.721338577
5660,0.731609726
5665,0.741295471
5670,0.750826035
5675,0.760071716
5680,0.768786774
5685,0.777267075
5690,0.785335007
5695,0.793286285
5700,0.800653381
5705,0.808097687
5710,0.815322571
5715,0.822155762
5720,0.828882446
5725,0.835392532
5730,0.841644135
5735,0.847994766
5740,0.854011383
5745,0.859758453
5750,0.865293579
5755,0.870786285
5760,0.876033096
5765,0.881029892
5770,0.885792847
5775,0.890355759
5780,0.894721146
5785,0.89891777
5790,0.902886581
5795,0.906516876
5800,0.909866867
5805,0.91317215
5810,0.916286545
5815,0.919031525
5820,0.921572647
5825,0.923835526
5830,0.925900192
5835,0.928190079
5840,0.930184097
5845,0.931751709
5850,0.93322464
5855,0.934518509
5860,0.936019516
5865,0.937342987
5870,0.938510208
5875,0.939545746
5880,0.940524674
5885,0.94151062
5890,0.942570114
5895,0.943477249
5900,0.944301071
5905,0.945204697
5910,0.946212692
5915,0.947256775
5920,0.948217773
5925,0.949132004
5930,0.950076752
5935,0.951233521
5940,0.952335053
5945,0.953418884
5950,0.954351196
5955,0.955174408
5960,0.956524735
5965,0.957721252
5970,0.958844757
5975,0.959865723
5980,0.960869217
5985,0.961947403
5990,0.96302536
5995,0.964129486
6000,0.965030289
6005,0.965894241
6010,0.966693802
6015,0.967600555
6020,0.968452301
6025,0.969161453
6030,0.96978302
6035,0.970366058
6040,0.971023636
6045,0.971600342
6050,0.972033081
6055,0.972404175
6060,0.97267128
6065,0.973089294
6070,0.973461533
6075,0.9736763
6080,0.973812256
6085,0.973916779
6090,0.974083633
6095,0.974318161
6100,0.974432831
6105,0.974362335
6110,0.97438446
6115,0.974513321
6120,0.974598694
6125,0.974664612
6130,0.974753876
6135,0.97471283
6140,0.974753113
6145,0.974885559
6150,0.975023804
6155,0.975092316
6160,0.975179138
6165,0.975315857
6170,0.975551453
6175,0.975713425
6180,0.975959625
6185,0.976005936
6190,0.976212311
6195,0.976617127
6200,0.976895905
6205,0.977085571
6210,0.977349625
6215,0.977566986
6220,0.977957993
6225,0.978326721
6230,0.978567734
6235,0.978844452
6240,0.979091263
6245,0.979446182
6250,0.979796372
6255,0.980014725
6260,0.980179901
6265,0.980471039
6270,0.980718765
6275,0.980948181
6280,0.981110306
6285,0.981147003
6290,0.981229401
6295,0.981434174
6300,0.981505661
6305,0.981562653
6310,0.981425552
6315,0.981316528
6320,0.981282425
6325,0.981307297
6330,0.9811763
6335,0.980946503
6340,0.980697708
6345,0.980513153
6350,0.980353088
6355,0.980065613
6360,0.979724045
6365,0.979475174
6370,0.979145279
6375,0.978980103
6380,0.978740311
6385,0.978280487
6390,0.977952347
6395,0.977746506
6400,0.977585602
6405,0.977313461
6410,0.977097702
6415,0.976882172
6420,0.976730499
6425,0.976658325
6430,0.976647644
6435,0.976594544
6440,0.976461563
6445,0.976444778
6450,0.976586456
6455,0.976722565
6460,0.976760254
6465,0.976844254
6470,0.976984711
6475,0.977233505
6480,0.977481461
6485,0.977587891
6490,0.977811279
6495,0.977907639
6500,0.978143616
6505,0.978393021
6510,0.978415375
6515,0.978407059
